iter	Logloss
0	0.6422371383
1	0.5935173611
2	0.5513055773
3	0.513657732
4	0.4790300782
5	0.4453361592
6	0.4159142595
7	0.3902050807
8	0.3643192312
9	0.3426076418
10	0.3244577993
11	0.3050122654
12	0.2884135908
13	0.2730891186
14	0.2595028875
15	0.2477732756
16	0.2357997592
17	0.2259016077
18	0.2160890952
19	0.2067921929
20	0.1982313112
21	0.1909923796
22	0.1833312425
23	0.1768247312
24	0.1709144448
25	0.1659005428
26	0.1606367939
27	0.1562416626
28	0.1521609904
29	0.1485491372
30	0.1446113855
31	0.140949452
32	0.1377023085
33	0.1351648381
34	0.1324745943
35	0.1298649975
36	0.1280169666
37	0.1256517014
38	0.1238263053
39	0.1219106793
40	0.1204094852
41	0.1187206157
42	0.1170506324
43	0.115585155
44	0.1145272888
45	0.1131485657
46	0.1119522413
47	0.1107600787
48	0.1097400522
49	0.1087083227
