iter	Passed	Remaining
0	5790	283748
1	11735	281659
2	17375	272216
3	22806	262272
4	28391	255527
5	34309	251602
6	39930	245284
7	45341	238044
8	50953	232119
9	56264	225057
10	61633	218518
11	67102	212491
12	72752	207064
13	78038	200671
14	83190	194110
15	88225	187479
16	93325	181161
17	98309	174772
18	103540	168934
19	108852	163278
20	113974	157393
21	119399	151962
22	124699	146386
23	129790	140606
24	134992	134992
25	140248	129459
26	145501	123945
27	150911	118573
28	156103	113040
29	161389	107593
30	166832	102252
31	172179	96851
32	177367	91371
33	182619	85938
34	187936	80544
35	193134	75107
36	198370	69697
37	203800	64358
38	209075	58970
39	214456	53614
40	219753	48238
41	225150	42885
42	230612	37541
43	235868	32163
44	241251	26805
45	246828	21463
46	252232	16099
47	257435	10726
48	262882	5364
49	268289	0
